gene	neglog10p
AARS2	6.698970004336019
ABAT	5.154901959985743
ABCA1	32.045757490560675
ABCA12	5.221848749616356
ABCA6	8.301029995663981
ABCA7	38.096910013008056
ABCA8	6.522878745280337
ABCB9	13.0
ABCD1P4	7.301029995663981
ABCD2	7.522878745280337
ABCF3	6.698970004336019
ABCG8	5.3979400086720375
ABHD1	13.69897000433602
ABHD12	8.397940008672037
ABHD17A	8.397940008672037
ABI3	17.096910013008056
ABI3BP	5.522878745280337
ABLIM2	5.522878745280337
ABRAXAS2	16.045757490560675
ABT1	8.0
ACBD5	11.0
ACE	14.69897000433602
ACE3P	5.096910013008056
ACER1	30.30102999566398
ACER3	6.301029995663981
ACKR2	17.397940008672037
ACMSD	7.698970004336019
ACO2P1	5.301029995663981
ACOT4	5.522878745280337
ACOT6	5.522878745280337
ACOX1	7.397940008672037
ACP7	18.522878745280337
ACSF3	5.522878745280337
ACSL6	6.698970004336019
ACTB	12.30102999566398
ACTBP9	7.522878745280337
ACTG1P22	8.698970004336019
ACTL6B	17.221848749616356
ACTN4	7.301029995663981
ACTR3C	8.397940008672037
ACTR3P3	5.522878745280337
ADAD2	6.0
ADAM10	20.522878745280337
ADAM17	9.30102999566398
ADAM1B	13.221848749616356
ADAMTS1	11.397940008672036
ADAMTS17	5.698970004336019
ADAMTS18	6.154901959985743
ADAMTS19	6.698970004336019
ADAMTS2	6.0
ADAMTS20	6.522878745280337
ADAMTS4	17.154901959985743
ADAMTS9-AS2	5.522878745280337
ADARB1	11.0
ADARB2	19.69897000433602
ADCK1	17.096910013008056
ADCY10P1	5.698970004336019
ADCY8	5.698970004336019
ADCYAP1R1	7.397940008672037
ADGRA3	13.397940008672036
ADGRB3	6.0
ADGRE1	5.0
ADGRE3	11.0
ADGRF2P	17.69897000433602
ADGRG4	6.096910013008056
ADGRL2	5.045757490560675
ADH5	8.698970004336019
ADK	15.154901959985745
ADM-DT	5.3979400086720375
ADRA1A	5.221848749616356
ADRA1D	5.221848749616356
AFF1	7.698970004336019
AFF3	16.69897000433602
AFF4-DT	6.301029995663981
AGAP1	8.0
AGAP11	5.522878745280337
AGBL1	6.3979400086720375
AGFG2	7.301029995663981
AGPAT2	5.096910013008056
AGT	6.221848749616356
AHCYL1	6.0
AHCYL2	8.301029995663981
AHNAK	8.221848749616356
AHNAK2	7.397940008672037
AICDA	6.301029995663981
AIDAP3	7.397940008672037
AIM2	5.221848749616356
AIPL1	5.301029995663981
AK6P1	23.522878745280337
AKAP1	5.154901959985743
AKAP10	12.0
AKAP6	5.221848749616356
AKR1C3	5.301029995663981
ALCAM	6.045757490560675
ALDH1A2	83.39794000867204
ALDH4A1	5.522878745280337
ALLC	5.698970004336019
ALPK2	7.522878745280337
ALPL	8.221848749616356
AMMECR1L	14.69897000433602
ANAPC1	10.154901959985745
ANAPC10	7.698970004336019
ANAPC1P5	15.522878745280336
ANGPT2	5.221848749616356
ANGPT4	5.221848749616356
ANK1	5.0
ANK3	13.522878745280336
ANKH	10.522878745280336
ANKRD11	7.698970004336019
ANKRD26P1	12.0
ANKRD30BP2	8.698970004336019
ANKRD31	8.0
ANKRD33BP2	39.69897000433602
ANKRD40CL	14.69897000433602
ANKRD55	8.0
ANO1	5.3979400086720375
ANO3	8.522878745280337
ANO4	6.3979400086720375
ANO5	8.698970004336019
ANTXR1	5.3979400086720375
ANXA1	8.154901959985743
ANXA10	6.154901959985743
ANXA2	5.154901959985743
ANXA2R-OT1	13.0
AOPEP	5.522878745280337
AP1S2P1	8.0
AP2A2	7.221848749616356
AP2S1	12.0
AP4M1	7.301029995663981
APAF1	7.522878745280337
APBA1	6.522878745280337
APH1B	24.69897000433602
APLNR	10.522878745280336
APOB	19.0
APOBEC1	10.522878745280336
APOC1	672.698970004336
APOC1P1	672.698970004336
APOC2	21.154901959985743
APOC4	50.39794000867204
APOC4-APOC2	50.39794000867204
APOE	496.397940008672
APOL3	13.522878745280336
APP	13.69897000433602
APP-DT	7.154901959985743
AREG	5.154901959985743
ARF4P2	12.0
ARF4P4	6.698970004336019
ARFGAP2	20.045757490560675
ARFGEF1-DT	12.0
ARFGEF2	6.522878745280337
ARFGEF3	5.096910013008056
ARHGAP15	11.0
ARHGAP16P	5.522878745280337
ARHGAP20	6.154901959985743
ARHGAP24	10.69897000433602
ARHGAP26	5.154901959985743
ARHGAP45	9.522878745280336
ARHGEF10L	16.154901959985743
ARHGEF2	9.397940008672036
ARHGEF28	5.3979400086720375
ARID1A	8.0
ARID1B	5.522878745280337
ARIH1	5.221848749616356
ARIH2	8.698970004336019
ARL17B	8.221848749616356
ARL2BPP4	13.69897000433602
ARL2BPP5	7.045757490560675
ARL2BPP7	6.154901959985743
ARL5C	10.154901959985745
ARL6IP1P2	7.301029995663981
ARL6IP4	13.0
ARL6IP6	5.221848749616356
ARMH3	12.30102999566398
ARPC3P2	8.221848749616356
ARPC4	8.522878745280337
ARPC4-TTLL3	8.522878745280337
ARSA	7.522878745280337
ARSI	5.045757490560675
ARVCF	6.698970004336019
AS3MT	7.0
ASAP1	12.69897000433602
ASB3	6.301029995663981
ASCC1	9.221848749616356
ASCC2	9.397940008672036
ASIP	6.221848749616356
ASL	12.154901959985745
ASMER1	5.3979400086720375
ASPSCR1	7.698970004336019
ASTN2	6.301029995663981
ATAD3A	10.0
ATAD3B	10.0
ATF5	11.397940008672036
ATF7	9.69897000433602
ATF7-NPFF	9.69897000433602
ATF7IP	9.69897000433602
ATG13	7.522878745280337
ATG2A	5.045757490560675
ATOH7	8.096910013008056
ATOSA	5.0
ATP11B	5.154901959985743
ATP11B-DT	5.3979400086720375
ATP2B1-AS1	9.0
ATP5F1B	19.0
ATP5MC2P2	8.0
ATP5MFP3	6.698970004336019
ATP5PDP3	5.698970004336019
ATP5PF	5.3979400086720375
ATP6V0A2	8.301029995663981
ATP6V0E2	8.397940008672037
ATP6V1FP1	8.154901959985743
ATP6V1G1P1	10.045757490560677
ATP7B	18.045757490560675
ATP8A2P3	5.301029995663981
ATP8B4	11.30102999566398
ATXN1-AS1	6.0
ATXN2-AS	9.522878745280336
ATXN2L	8.0
ATXN7L1	6.0
AUTS2	8.0
AVL9	10.69897000433602
AVPI1	9.522878745280336
AXIN1	10.096910013008056
AZGP1P1	6.301029995663981
B3GALT1	6.154901959985743
B3GNT2	11.096910013008056
B3GNTL1P2	21.154901959985743
B4GALNT2	5.221848749616356
B4GALNT2P1	5.221848749616356
BAALC-AS1	7.0
BACE2	7.0
BAD	14.045757490560677
BANF2	5.154901959985743
BANK1	6.698970004336019
BARHL2	10.221848749616356
BAZ1B	8.154901959985743
BBC3	9.096910013008056
BCAM	191.15490195998575
BCAR3	7.221848749616356
BCAS3	11.0
BCCIP	8.698970004336019
BCKDK	10.69897000433602
BCL10-AS1	8.301029995663981
BCL11A	11.0
BCL2A1	14.522878745280336
BCL2L1	8.0
BCL3	116.52287874528034
BCL6-AS1	11.221848749616356
BCLAF1P2	12.0
BCRP9	6.0
BDH1	5.522878745280337
BDP1P	6.0
BFSP2	7.0
BICC1	5.301029995663981
BICD1-AS1	8.301029995663981
BIN1	138.69897000433602
BLK	6.3979400086720375
BLK-AS1	6.3979400086720375
BLNK	10.154901959985745
BLOC1S3	42.15490195998574
BLOC1S4	6.0
BLTP3A	5.698970004336019
BMAL1	5.522878745280337
BMP1	5.522878745280337
BMP2	5.045757490560675
BMP6	5.221848749616356
BMP8A	10.397940008672036
BMPER	7.0
BMPR1AP2	6.045757490560675
BMS1	13.522878745280336
BMS1P14	7.397940008672037
BMS1P20	8.0
BNC2	8.221848749616356
BNIP3	6.522878745280337
BNIP3P15	14.522878745280336
BNIP3P44	5.221848749616356
BORCS5	8.096910013008056
BORCS7-ASMT	7.0
BPNT1	8.0
BRAF	14.69897000433602
BRD1	8.0
BRD7P1	18.69897000433602
BRF1	12.154901959985745
BRWD1-AS1	14.69897000433602
BRWD1P1	8.154901959985743
BSN	19.69897000433602
BSNDP4	10.69897000433602
BTBD9	7.522878745280337
BTC	5.154901959985743
BTNL2	8.698970004336019
BZW2	10.221848749616356
C10orf71	6.0
C10orf90	11.522878745280336
C12orf42	10.096910013008056
C16orf95	7.522878745280337
C17orf107	9.69897000433602
C17orf58	14.397940008672036
C1GALT1	7.154901959985743
C1QTNF3-AMACR	5.301029995663981
C1S	8.522878745280337
C1orf159	8.0
C2CD3	5.698970004336019
C2orf42	10.045757490560677
C3orf33	7.698970004336019
C4BPAP2	10.522878745280336
C5orf34-AS1	9.522878745280336
C7orf78	9.0
C8orf44-SGK3	8.0
C8orf90	9.522878745280336
CA12	9.30102999566398
CA5A	7.301029995663981
CABLES1	5.698970004336019
CABLES2	7.522878745280337
CABP1	14.69897000433602
CABYRP1	5.3979400086720375
CACNA1A	5.3979400086720375
CACNA1E	7.397940008672037
CACNA1G	9.0
CACNA1H	8.698970004336019
CACNA2D3	5.698970004336019
CACNB2	8.221848749616356
CACNG7	9.69897000433602
CACNG8	9.69897000433602
CADM2	7.698970004336019
CADPS	5.221848749616356
CADPS2	6.096910013008056
CAGE1	9.69897000433602
CALCRL-AS1	10.522878745280336
CALM2P4	11.522878745280336
CAMK1D	8.096910013008056
CAMK2N1	14.30102999566398
CAMK4	5.698970004336019
CAMKV	23.0
CAMSAP1	6.0
CAMTA1	6.301029995663981
CANX	9.0
CAPN9-AS1	6.221848749616356
CAPZA2	9.397940008672036
CAPZA3	5.096910013008056
CARD11	12.397940008672036
CARD18	17.522878745280337
CARM1P1	5.698970004336019
CARMAL	7.397940008672037
CARS1	5.221848749616356
CARS1P2	6.522878745280337
CASC11	10.69897000433602
CASC18	5.3979400086720375
CASC8	10.69897000433602
CASS4	26.096910013008056
CASTOR3P	7.522878745280337
CATSPER1	9.0
CATSPER2	5.045757490560675
CATSPER2P1	8.096910013008056
CATSPERB	5.522878745280337
CBFA2T3	5.522878745280337
CBLC	55.096910013008056
CBLN2	5.221848749616356
CBLN4	5.154901959985743
CBR4	8.397940008672037
CBX2	5.0
CBX4	5.3979400086720375
CCDC117	10.221848749616356
CCDC134	6.0
CCDC162P	7.0
CCDC171	5.3979400086720375
CCDC178	42.0
CCDC190	5.096910013008056
CCDC195	8.0
CCDC25	6.0
CCDC32	8.698970004336019
CCDC33	8.0
CCDC83	10.69897000433602
CCDC85B	6.522878745280337
CCDC85C	5.698970004336019
CCDC88C-DT	6.096910013008056
CCDC89	7.154901959985743
CCDC91	7.698970004336019
CCKBR	5.096910013008056
CCL24	16.096910013008056
CCL25	7.397940008672037
CCL26	16.096910013008056
CCL28	7.698970004336019
CCM2L	7.522878745280337
CCNB3P1	6.221848749616356
CCND3	9.69897000433602
CCNJL	10.045757490560677
CCNT2-AS1	7.698970004336019
CCNY	9.045757490560677
CCR7	10.0
CCRL2	12.69897000433602
CCT3	5.096910013008056
CCT4P1	14.69897000433602
CD24	6.301029995663981
CD2AP	21.096910013008056
CD2AP-DT	21.154901959985743
CD300LG	6.221848749616356
CD33	12.30102999566398
CD34	7.522878745280337
CD55	7.698970004336019
CD72	9.397940008672036
CD82	6.154901959985743
CD83P1	9.522878745280336
CDC23	8.397940008672037
CDC42EP3	5.698970004336019
CDC42EP3-AS1	5.698970004336019
CDC42SE2	6.698970004336019
CDC5L	7.0
CDCA7P2	6.3979400086720375
CDCP1	5.301029995663981
CDH12	6.221848749616356
CDH13	9.0
CDH15	9.154901959985745
CDH18	5.301029995663981
CDH19	6.3979400086720375
CDH20	10.0
CDH4	5.3979400086720375
CDH7	5.522878745280337
CDHR17P	5.221848749616356
CDHR3	5.698970004336019
CDIN1	6.0
CDIPTOSP	7.301029995663981
