gene	log2fc	pval
A1BG	-0.0309562442243502	0.705168797707549
A2M	0.0105981874580651	0.912490299138209
AAAS	0.0450374875077944	0.0607152461439509
AACS	-0.0536770171137573	0.11916753620969
AADAT	-0.0662547342921694	0.0683930232533805
AAGAB	0.0241616764264898	0.569799211153126
AAK1	-0.0550622237951228	0.000644733898862276
AAMDC	0.0292764963898361	0.676283951119379
AAMP	0.0992671986629252	9.54115739636547e-06
AARS1	-0.00358356024634013	0.884919969405559
AARS2	-0.00348002593534838	0.928893534948127
AARSD1	0.0252905741119714	0.406716928321595
AASDHPPT	0.013092333688696	0.520666917768975
AASS	0.0256702055338489	0.437808768264891
AATK	-0.0619426819894926	0.00326077963539442
ABAT	-0.0160435369402932	0.550641907468677
ABCA2	-0.0312921990538938	0.340366886398496
ABCA3	0.0371544031934854	0.114695186271575
ABCA5	-0.00950065709169909	0.7586787525328
ABCA7	0.00371363011675599	0.951513385852699
ABCA8	-0.0356575477600205	0.603103170759695
ABCB1	-0.0388516380276811	0.155843225565224
ABCB10	-0.0251377664083445	0.340026747787445
ABCB6	0.0179400386152509	0.600425643023003
ABCB7	0.00901356217244142	0.670980374607937
ABCB8	-0.0175791533718355	0.570088533544694
ABCB9	-0.042982353589531	0.25987085050179
ABCC1	0.000598116530200213	0.988466309101587
ABCC10	-0.275278860978065	0.00337489147303225
ABCC4	0.0456792414647829	0.213322534208501
ABCC5	0.142494691463464	2.01325665149186e-05
ABCC8	-0.0226105690768864	0.388514968496756
ABCC9	0.0520567953537177	0.33495935195701
ABCD2	-0.0157357025328294	0.629307717099291
ABCD3	-0.044642016246821	0.0141111562425153
ABCE1	-0.0288764971763487	0.0261471138847385
ABCF1	-0.0099132848288474	0.669403079071304
ABCF2	0.0187099160216054	0.28125003536611
ABCF3	0.0108876037788114	0.682550592000707
ABCG1	0.147835555595697	0.00265447312075987
ABCG2	0.016754502125304	0.774497391307636
ABCG4	-0.0393640598750926	0.609894985019435
ABHD10	-0.0270735681051403	0.309949263405652
ABHD11	-0.0673306686932413	0.0559667264481042
ABHD12	-0.0314210156943168	0.081587498170561
ABHD14B	0.0197199827957745	0.679629938758631
ABHD16A	-0.026480848882789	0.0701791425918645
ABHD17A	0.0213449059508867	0.496252547045239
ABHD17B	0.00915628224417562	0.793909294317729
ABHD17C	-0.0542500622996984	0.39973893158838
ABHD6	-0.00119657997921051	0.970897230415574
ABHD8	0.0320221991850609	0.637961384646409
ABI1	0.0131160675532105	0.487298077503449
ABI2	-0.0469559156152343	0.0156395282439033
ABI3	0.00662605372161702	0.90388128690161
ABL1	0.0303527109436983	0.447138127832597
ABL2	-0.00223376553929665	0.930243080812931
ABLIM1	0.0340707383564901	0.201741738380825
ABLIM2	-0.013973422765773	0.826804225030619
ABLIM3	0.0283387422608702	0.401918008683202
ABR	-0.0727917989942955	0.00417000355424013
ABRACL	-0.0311539175706299	0.764157036946989
ABRAXAS1	0.0906731453035955	0.687538002855959
ABRAXAS2	0.0163150247064059	0.379147757719981
ABTB3	-0.00394512844964742	0.927150906004937
ACAA1	-0.0257113802865818	0.399428119610692
ACAA2	-0.061282553814111	0.0279615893560627
ACACA	-0.00948057527766452	0.674454769107642
ACAD10	-0.0610801353175841	0.143207762262626
ACAD11	-0.0551737310517746	0.0935254590200427
ACAD8	0.0466522540032648	0.100857487194397
ACAD9	-0.0379492398585602	0.376471761685074
ACADM	-0.0246801089311966	0.665886466127511
ACADS	-0.044758653385765	0.487665311987258
ACADSB	-0.0554312762607299	0.189066101397498
ACADVL	0.0214446198640053	0.515973814372308
ACAN	0.0528810151387716	0.401918008683202
ACAP2	-0.0432680168577845	0.38465309890623
ACAP3	-0.0552327842599026	0.0031822214790245
ACAT1	0.00262970924514521	0.924915153770622
ACAT2	0.0639672697769629	0.0186426821644629
