gene	log2fc	pval	tissue
A1BG	0.225768919943019	0.0147233595956325	PHG
A1BG-AS1	-0.322528251027869	4.83766546663568e-05	TCX
A1CF	-0.268560241590353	0.0679021264715508	FP
A2M	0.629426057192998	8.92696213679037e-10	PHG
A2M-AS1	-0.166982409032818	0.008652013824649	ACC
A2ML1	1.07081960517424	1.80096222310201e-19	TCX
A2MP1	-0.172222386947349	0.10374445826759	IFG
A4GALT	1.18119237923198	2.54478950023702e-22	TCX
AA06	-0.426905899070694	0.0002032477079869	IFG
AAAS	0.09145673005633	0.0298219639966795	IFG
AACS	-0.179553487286541	0.0002534896029016	PHG
AACSP1	-0.287310655504919	0.0222361920000677	IFG
AADAT	-0.304329788170344	5.3639366034994e-08	TCX
AAGAB	-0.30470482907306	3.69910463555416e-08	PHG
AAK1	-0.278618464409845	5.15658800550813e-08	TCX
AAMDC	0.278499093418917	6.5597133939939e-05	PHG
AAMP	-0.0365070033704846	0.257506022394442	PCC
AANAT	0.397160514631497	0.0012437731704275	PHG
AAR2	0.18493190735345	1.78009471493834e-06	TCX
AARD	-0.195586851696421	0.154367523896603	PCC
AARS1	-0.0952257286201625	0.0198697034221532	PHG
AARS2	-0.18670744085043	0.0014908354839749	TCX
AARSD1	-0.258312995091858	0.0097037322042387	FP
AARSD1P1	-0.252254960584625	0.0211109580644756	FP
AASDH	0.0589283592722003	0.0734726664017924	ACC
AASDHPPT	-0.373306000525316	3.9128817322733e-09	PHG
AASDHPPT-AS1	-0.110670503885856	0.347725753753309	FP
AASS	0.285992192452588	1.09426161670184e-05	PHG
AATBC	0.217521218840605	0.0159471225708778	PHG
AATF	0.190981781433514	0.0002549193080816	TCX
AATK	0.246351915506966	0.0014915718080255	PHG
ABALON	0.176923553635917	0.0980567415341017	PHG
ABAT	0.0686599223635636	0.119536461030332	IFG
ABCA1	0.574529913238654	3.3399316530813194e-11	PHG
ABCA10	-0.390302342195296	4.63118344195934e-10	PHG
ABCA11P	-0.432740458969913	4.52899482342596e-05	IFG
ABCA12	-0.219966133860146	0.0971585989316709	STG
ABCA17P	-0.184984239595479	0.0005755933450737	PHG
ABCA2	0.41202465164595	2.21937790937928e-06	PHG
ABCA3	-0.0978735801499608	0.0486535629967964	PHG
ABCA4	0.467313788861544	0.0002723359766234	TCX
ABCA5	-0.466295085012904	5.9335744677933895e-12	TCX
ABCA6	0.41513691088583	5.81806999187687e-06	PHG
ABCA7	0.175297423593566	0.0773097528281298	STG
ABCA8	0.704431532641258	2.6431986209409005e-10	PHG
ABCA9	0.138162571683031	0.0178437360261408	PHG
ABCA9-AS1	-0.100008220839162	0.460917111443179	FP
ABCB1	0.573603222171794	3.65546240725241e-06	TCX
ABCB10	-0.127306890419335	0.0005871854125785	STG
ABCB4	-0.103065788565728	0.479486394882796	IFG
ABCB6	0.201966221889299	0.0555240249757578	PCC
ABCB7	0.160840178759374	0.0002269399200482	TCX
ABCB8	-0.150028899178027	0.0031981334447348	TCX
ABCB9	0.0769040970483301	0.0275311072905423	DLPFC
ABCC1	-0.0620499824381442	0.334452290146479	TCX
ABCC10	0.0782361570810073	0.170338883383862	TCX
ABCC11	-0.545518406682127	7.38390922930289e-06	TCX
ABCC12	-0.962046931951523	3.89240376427137e-16	PHG
ABCC2	0.656667473060785	4.512081991680971e-09	PHG
ABCC3	0.674561323046207	5.5816442496595e-07	PHG
ABCC4	0.333052753911101	2.03808078674854e-07	PHG
ABCC5	-0.092645783486442	0.0345736266414501	PHG
ABCC6	0.486188658994285	8.60831880703011e-08	TCX
ABCC8	-0.287898571048913	2.91331619941759e-05	PHG
ABCC9	0.353254614394072	4.16973124030564e-06	PHG
ABCD1	0.290876877744786	4.0093260270702e-06	TCX
ABCD2	-0.508771254109666	1.26047935378201e-12	PHG
ABCD3	0.104697971096879	0.0104125937557281	PHG
ABCD4	0.229506407465534	4.20205759893208e-06	PHG
ABCE1	-0.14927865326298	0.0051424304785583	STG
ABCF1	-0.0437558702763878	0.342295407975728	TCX
ABCF2	-0.125834561877095	0.000500730414461	PHG
ABCF2P1	-0.54381285912411	2.82495855774054e-05	PHG
ABCF3	-0.0938526908402144	0.0157467442309306	TCX
ABCG1	0.154047475976678	0.0019241379846727	PHG
ABCG2	0.509213618406915	0.0003337145159766	TCX
ABCG4	-0.327491346101043	1.45180991124691e-05	PHG
ABCG5	-0.181033708149982	0.0962380816719774	FP
ABCG8	-0.415752133338284	8.27772350486425e-05	TCX
ABHD1	0.250237639761488	0.0008198815470796	PHG
ABHD10	-0.0953862768094718	0.0081480040022443	TCX
ABHD11	-0.233170301675339	0.0001358886793743	FP
ABHD12	-0.0991521030126741	0.0526902368727943	TCX
ABHD12B	0.151838018281973	0.07646411029167	TCX
ABHD13	-0.10573466247355	0.0281595362531856	PHG
ABHD14A	-0.160135444772555	0.0062161480263769	PHG
ABHD14B	0.235388527061068	1.72615182723875e-07	PHG
