IDX	mut_freq
A1CF	0.016393
A2M	0.032787
A2ML1	0.016393
AADACL2	0.008197
AADACL4	0.008197
AAED1	0.016393
AAGAB	0.008197
AAMP	0.008197
AANAT	0.008197
AAR2	0.008197
AATK	0.032787
ABAT	0.008197
ABCA1	0.032787
ABCA12	0.008197
ABCA13	0.106557
ABCA2	0.02459
ABCA3	0.008197
ABCA4	0.02459
ABCA5	0.008197
ABCA6	0.008197
ABCA7	0.008197
ABCA8	0.032787
ABCA9	0.02459
ABCB1	0.032787
ABCB10	0.008197
ABCB11	0.02459
ABCB4	0.008197
ABCB6	0.008197
ABCB7	0.008197
ABCB8	0.008197
ABCB9	0.016393
ABCC1	0.02459
ABCC12	0.008197
ABCC2	0.02459
ABCC3	0.016393
ABCC4	0.02459
ABCC5	0.016393
ABCC6	0.016393
ABCC8	0.032787
ABCC9	0.016393
ABCD1	0.016393
ABCD2	0.008197
ABCD3	0.008197
ABCD4	0.008197
ABCF1	0.008197
ABCF3	0.016393
ABCG1	0.02459
ABCG2	0.008197
ABCG8	0.02459
ABHD10	0.008197
ABHD11	0.008197
ABHD13	0.008197
ABHD15	0.016393
ABHD17B	0.008197
ABHD2	0.008197
ABHD6	0.008197
ABI1	0.008197
ABI3BP	0.02459
ABL1	0.016393
ABL2	0.016393
ABLIM1	0.008197
ABLIM2	0.008197
ABLIM3	0.016393
ABR	0.008197
ABRA	0.008197
ABRACL	0.008197
ABTB2	0.016393
AC004381.6	0.008197
AC005008.2	0.008197
AC005358.1	0.008197
AC005481.5	0.02459
AC006132.1	0.008197
AC011484.1	0.008197
AC011997.1	0.008197
AC016757.3	0.008197
AC018470.1	0.008197
AC021218.2	0.008197
AC022400.2	0.008197
AC025278.1	0.008197
AC037459.4	0.008197
AC074212.3	0.02459
AC074389.6	0.008197
AC093802.1	0.008197
AC099552.4	0.008197
AC129492.6	0.008197
ACAA2	0.008197
ACACA	0.032787
ACACB	0.032787
ACAD10	0.008197
ACAD9	0.008197
ACADL	0.008197
ACADVL	0.008197
ACAN	0.02459
ACAP1	0.008197
ACAP2	0.016393
ACAP3	0.016393
ACBD5	0.016393
ACBD6	0.008197
ACCS	0.008197
ACCSL	0.008197
ACE	0.02459
ACE2	0.008197
ACER1	0.016393
ACER3	0.008197
ACHE	0.008197
ACIN1	0.008197
ACO1	0.008197
ACO2	0.008197
ACOT11	0.008197
ACOT12	0.008197
ACOT6	0.008197
ACOT8	0.008197
ACOX1	0.008197
ACOX3	0.016393
ACOXL	0.008197
ACPL2	0.008197
ACPP	0.008197
ACPT	0.016393
ACRBP	0.008197
ACSBG1	0.008197
ACSBG2	0.008197
ACSF2	0.008197
ACSF3	0.008197
ACSL3	0.008197
ACSL4	0.016393
ACSM1	0.008197
ACSM2A	0.008197
ACSM2B	0.008197
ACSM4	0.008197
ACSS1	0.016393
ACSS3	0.008197
ACTA2	0.016393
ACTB	0.008197
ACTBL2	0.02459
ACTC1	0.008197
ACTG1	0.016393
ACTG2	0.008197
ACTL6A	0.008197
ACTL6B	0.008197
