rank,gene,rna_lfc,rna_p,tissue,prot_lfc,prot_p,neglog10p,transcriptomic,proteomic,genomic,score,concordant
1,HLA-DRA,0.802553910320514,2.18367251709153e-08,PHG,0.135713166113647,0.0280317506057097,16.69897000433602,0.802553910320514,0.135713166113647,16.69897000433602,0.9573991031390134,True
2,HLA-DRB1,0.661777161026695,9.52061537458034e-07,PHG,0.102269735394966,0.633040329191009,22.522878745280337,0.661777161026695,0.102269735394966,22.522878745280337,0.9551569506726456,True
3,APOC1,0.505815823960661,0.0001437333385123,PHG,-0.228524981026124,0.0084152500544733,672.698970004336,0.505815823960661,0.228524981026124,672.698970004336,0.9494768310911808,False
4,PECAM1,0.85656558665246,2.6729206410796203e-10,TCX,0.0899574927151963,0.625272531516394,16.522878745280337,0.85656558665246,0.0899574927151963,16.522878745280337,0.9391629297458892,True
5,MTSS2,0.640547443447463,1.03926965445091e-13,TCX,-0.0995363183147964,0.251762341499552,13.522878745280336,0.640547443447463,0.0995363183147964,13.522878745280336,0.913303437967115,False
6,ITGAX,0.701560609589716,4.58651638699188e-11,PHG,0.118861892302656,0.0045735313261286,11.69897000433602,0.701560609589716,0.118861892302656,11.69897000433602,0.9119581464872946,True
7,GMPR,1.03607061824559,1.0298931091861201e-17,PHG,0.226955627786444,1.23923433762828e-05,10.096910013008056,1.03607061824559,0.226955627786444,10.096910013008056,0.9098654708520179,True
8,RPH3A,-1.15938359622984,3.80964173523854e-20,TCX,-0.13379780508807,1.78865238075578e-05,10.045757490560677,1.15938359622984,0.13379780508807,10.045757490560677,0.9044843049327354,True
9,NRXN3,-0.636646147168219,1.3356186240090401e-17,TCX,0.0616062881013799,0.0255399884454602,22.0,0.636646147168219,0.0616062881013799,22.0,0.9035874439461883,False
10,APLNR,1.2809588011238,1.57910362816389e-15,PHG,0.0998615797197114,0.0675034056702658,10.522878745280336,1.2809588011238,0.0998615797197114,10.522878745280336,0.9022421524663676,True
11,APOE,0.375611940857583,0.0007284281605073,TCX,0.107356933101995,0.0475604114796511,496.397940008672,0.375611940857583,0.107356933101995,496.397940008672,0.901644245142003,True
12,SHANK2,-0.544991403315626,7.32559186535873e-07,TCX,-0.0644893115811264,0.156669423284206,30.0,0.544991403315626,0.0644893115811264,30.0,0.8986547085201793,True
13,APOB,0.395646630618722,0.0164093350109251,PHG,0.12624230366462,0.0952342709055852,19.0,0.395646630618722,0.12624230366462,19.0,0.8965620328849028,True
14,MOG,0.472534420858162,6.20130389080288e-05,PHG,-0.0919097852766513,0.343489076361164,17.30102999566398,0.472534420858162,0.0919097852766513,17.30102999566398,0.8962630792227205,False
15,PLEC,0.59548505468465,1.22363658615194e-13,TCX,0.263616003662841,2.0990004091347e-05,10.522878745280336,0.59548505468465,0.263616003662841,10.522878745280336,0.8944693572496262,True
16,RHOJ,0.651328656465743,1.20715980189658e-13,TCX,0.154452401728964,0.0441441053913741,10.221848749616356,0.651328656465743,0.154452401728964,10.221848749616356,0.8932735426008968,True
17,ADGRA3,0.590968204856066,5.03942803945399e-09,TCX,-0.0748123097632614,0.103875889924533,13.397940008672036,0.590968204856066,0.0748123097632614,13.397940008672036,0.8831091180866966,False
18,CNN2,0.609377463300503,9.04418508178685e-07,PHG,-0.13116497404177,0.0127051947641742,10.096910013008056,0.609377463300503,0.13116497404177,10.096910013008056,0.8805680119581464,False
19,DIRAS2,-0.700332324562093,1.82777756713744e-12,PHG,-0.0557643107479941,0.0245486943062263,15.69897000433602,0.700332324562093,0.0557643107479941,15.69897000433602,0.8804185351270553,True
20,MB21D2,-0.474218889723037,6.1713597195174e-09,PHG,0.063086521642671,0.0062241441655456,24.39794000867204,0.474218889723037,0.063086521642671,24.39794000867204,0.8783258594917788,False
21,TINAGL1,0.728249222216438,7.1369892409762614e-09,TCX,-0.0517526075733176,0.154740125790539,15.69897000433602,0.728249222216438,0.0517526075733176,15.69897000433602,0.8726457399103138,False
22,MAP2K3,0.427529046163326,1.12923354332963e-07,TCX,0.0844371413301241,0.0193034933090653,15.0,0.427529046163326,0.0844371413301241,15.0,0.8689088191330343,True
23,HCN1,-0.691932084870942,7.72787038643105e-10,TCX,-0.062283331104331,0.0114506812161591,12.397940008672036,0.691932084870942,0.062283331104331,12.397940008672036,0.8669656203288489,True
24,HLA-C,0.402586438866069,1.66617962696323e-05,PHG,0.0611166498185157,0.796742210431181,33.22184874961636,0.402586438866069,0.0611166498185157,33.22184874961636,0.8585949177877428,True
25,CACNG8,-0.616998869205204,4.48109318729992e-09,TCX,-0.0897011284915875,0.0253997461963725,9.69897000433602,0.616998869205204,0.0897011284915875,9.69897000433602,0.8538116591928251,True
26,SAMHD1,0.334286139739559,6.38573535531744e-06,PHG,0.0722539689104691,0.0133097608700007,35.69897000433602,0.334286139739559,0.0722539689104691,35.69897000433602,0.8505231689088191,True
27,NFIA,0.431226023370211,3.31275819380454e-11,PHG,0.0940966813857593,0.359792377451923,11.397940008672036,0.431226023370211,0.0940966813857593,11.397940008672036,0.8446935724962631,True
28,FADS2,0.264320045348634,0.0024941256524974,PHG,-0.231707460015865,0.0007044788580987,18.154901959985743,0.264320045348634,0.231707460015865,18.154901959985743,0.84304932735426,False
29,SLC30A3,-0.667846912866079,2.72803778376793e-10,TCX,-0.0599221804984531,0.16067466377976,10.69897000433602,0.667846912866079,0.0599221804984531,10.69897000433602,0.8420029895366218,True
30,SLC2A13,-0.574923480820388,6.203405181982831e-10,TCX,0.0491247850762445,0.221187263883497,14.397940008672036,0.574923480820388,0.0491247850762445,14.397940008672036,0.8394618834080717,False
31,CLU,0.254671844139461,5.89463276370744e-06,PHG,0.101092211417374,0.00233097784938,47.0,0.254671844139461,0.101092211417374,47.0,0.8373692077727952,True
32,ITGB5,0.600167230023716,3.10305868197601e-13,PHG,0.0729321394505273,0.0416973092295831,9.69897000433602,0.600167230023716,0.0729321394505273,9.69897000433602,0.835575485799701,True
33,TBXAS1,0.613067456192724,2.2427827279078198e-11,PHG,0.058434024373922,0.222552855483718,11.096910013008056,0.613067456192724,0.058434024373922,11.096910013008056,0.8345291479820627,True
34,CABP1,-0.528607827509887,1.82573269860604e-09,PHG,-0.0510946568387938,0.0528356747932819,14.69897000433602,0.528607827509887,0.0510946568387938,14.69897000433602,0.8340807174887892,True
35,OLFM3,-0.990022121428885,2.3732191344613902e-14,PHG,-0.0691834977256031,0.0212651972908952,9.0,0.990022121428885,0.0691834977256031,9.0,0.8319880418535127,True
36,ACTL6B,-0.456898064310872,9.02531562240515e-08,PHG,0.0508703917095852,0.132785337265342,17.221848749616356,0.456898064310872,0.0508703917095852,17.221848749616356,0.8285500747384155,False
37,RBFOX1,-0.557082165965315,7.872611534328101e-10,PHG,0.0795319799237444,0.113874039429686,9.397940008672036,0.557082165965315,0.0795319799237444,9.397940008672036,0.8249626307922271,False
38,CDH13,-0.894763670948982,5.97923871129854e-12,TCX,-0.0657244531463881,0.180081155080633,9.0,0.894763670948982,0.0657244531463881,9.0,0.824813153961136,True
39,HSPA1L,0.300466094143474,0.102302215196031,TCX,0.171416675768595,0.0909169293629634,12.154901959985745,0.300466094143474,0.171416675768595,12.154901959985745,0.8240657698056801,True
40,KALRN,-0.474867687552599,1.22739545884823e-08,TCX,-0.0733494954669352,0.0010612702161044,10.397940008672036,0.474867687552599,0.0733494954669352,10.397940008672036,0.8234678624813153,True
